species,length,weight,w_l_ratio,species_Encoded,lengthNorm,weightNorm,cluster
Anabas testudineus,10.66,3.45,0.32,0,0.2216494845360824,0.5323193916349812,1
Anabas testudineus,6.91,3.27,0.47,0,0.028350515463917536,0.4638783269961978,1
Anabas testudineus,8.38,3.46,0.41,0,0.1041237113402062,0.5361216730038024,1
Anabas testudineus,7.57,3.36,0.44,0,0.06237113402061856,0.4980988593155894,1
Anabas testudineus,10.83,3.38,0.31,0,0.23041237113402063,0.505703422053232,1
Anabas testudineus,9.35,3.28,0.35,0,0.15412371134020614,0.467680608365019,1
Anabas testudineus,9.42,3.33,0.35,0,0.1577319587628866,0.48669201520912553,1
Anabas testudineus,7.92,3.13,0.39,0,0.08041237113402061,0.4106463878326997,1
Anabas testudineus,6.98,3.16,0.45,0,0.031958762886597936,0.42205323193916355,1
Anabas testudineus,8.42,3.26,0.39,0,0.10618556701030923,0.46007604562737636,1
Anabas testudineus,8.03,3.4,0.42,0,0.0860824742268041,0.5133079847908747,1
Anabas testudineus,10.27,3.16,0.31,0,0.20154639175257721,0.42205323193916355,1
Anabas testudineus,8.43,3.33,0.39,0,0.106701030927835,0.48669201520912553,1
Anabas testudineus,7.0,3.2,0.46,0,0.03298969072164948,0.43726235741444885,1
Anabas testudineus,7.46,3.25,0.44,0,0.05670103092783502,0.45627376425855515,1
Anabas testudineus,9.41,3.21,0.34,0,0.15721649484536082,0.44106463878327007,1
Anabas testudineus,6.64,3.2,0.48,0,0.014432989690721598,0.43726235741444885,1
Anabas testudineus,8.17,3.3,0.4,0,0.0932989690721649,0.47528517110266166,1
Anabas testudineus,8.85,3.07,0.35,0,0.12835051546391746,0.38783269961977196,1
Anabas testudineus,7.83,3.16,0.4,0,0.07577319587628867,0.42205323193916355,1
Anabas testudineus,10.19,3.24,0.32,0,0.19742268041237104,0.45247148288973393,1
Anabas testudineus,9.21,3.36,0.36,0,0.1469072164948454,0.4980988593155894,1
Anabas testudineus,6.67,3.31,0.5,0,0.015979381443298968,0.4790874524714831,1
Anabas testudineus,8.25,3.32,0.4,0,0.09742268041237112,0.4828897338403043,1
Anabas testudineus,7.21,3.4,0.47,0,0.04381443298969068,0.5133079847908747,1
Anabas testudineus,9.52,3.23,0.34,0,0.1628865979381443,0.4486692015209127,1
Anabas testudineus,7.13,3.2,0.45,0,0.039690721649484506,0.43726235741444885,1
Anabas testudineus,8.97,3.25,0.36,0,0.13453608247422683,0.45627376425855515,1
Anabas testudineus,6.74,3.11,0.46,0,0.019587628865979367,0.40304182509505704,1
Anabas testudineus,7.54,3.21,0.43,0,0.06082474226804124,0.44106463878327007,1
Anabas testudineus,10.81,3.26,0.3,0,0.2293814432989691,0.46007604562737636,1
Anabas testudineus,10.56,3.41,0.32,0,0.2164948453608247,0.5171102661596959,1
Anabas testudineus,7.48,3.11,0.42,0,0.057731958762886615,0.40304182509505704,1
Anabas testudineus,8.74,3.37,0.39,0,0.12268041237113403,0.5019011406844108,1
Anabas testudineus,8.78,3.24,0.37,0,0.12474226804123706,0.45247148288973393,1
Anabas testudineus,7.16,3.48,0.49,0,0.04123711340206182,0.5437262357414451,1
Anabas testudineus,9.47,3.45,0.36,0,0.16030927835051545,0.5323193916349812,1
Anabas testudineus,7.1,3.26,0.46,0,0.03814432989690719,0.46007604562737636,1
