Income,MntMeatProducts,cluster
58138.0,546.0,1
46344.0,6.0,1
71613.0,127.0,2
26646.0,20.0,3
58293.0,118.0,1
62513.0,98.0,1
55635.0,164.0,1
33454.0,56.0,3
30351.0,24.0,3
5648.0,6.0,3
52247.25135379061,6.0,1
7500.0,11.0,3
63033.0,480.0,1
59354.0,53.0,1
17323.0,17.0,3
82800.0,115.0,2
41850.0,19.0,1
37760.0,38.0,3
76995.0,498.0,2
33812.0,19.0,3
37040.0,73.0,3
2447.0,556.0,3
58607.0,86.0,1
65324.0,102.0,2
40689.0,27.0,1
18589.0,25.0,3
53359.0,30.0,1
52247.25135379061,3.0,1
38360.0,42.0,3
84618.0,556.0,2
10979.0,10.0,3
38620.0,44.0,3
40548.0,5.0,1
46610.0,96.0,1
68657.0,471.0,2
49389.0,19.0,1
67353.0,151.0,2
23718.0,14.0,3
42429.0,6.0,1
48948.0,206.0,1
80011.0,536.0,2
20559.0,29.0,3
21994.0,6.0,3
52247.25135379061,50.0,1
7500.0,10.0,3
79941.0,266.0,2
7500.0,14.0,3
41728.0,15.0,1
52247.25135379061,48.0,1
72550.0,317.0,2
65486.0,125.0,2
79143.0,556.0,2
35790.0,20.0,3
82582.0,550.0,2
66373.0,124.0,2
82384.0,432.0,2
70287.0,482.0,2
27938.0,8.0,3
52247.25135379061,22.0,1
55954.0,28.0,1
75777.0,538.0,2
66653.0,102.0,2
61823.0,134.0,1
67680.0,48.0,2
70666.0,367.0,2
25721.0,6.0,3
32474.0,1.0,3
88194.0,309.0,2
69096.0,159.0,2
74854.0,487.0,2
66991.0,460.0,2
52247.25135379061,43.0,1
65031.0,291.0,2
60631.0,65.0,1
28332.0,13.0,3
40246.0,6.0,1
75251.0,556.0,2
75825.0,556.0,2
26326.0,5.0,3
56046.0,64.0,1
29760.0,68.0,3
26304.0,5.0,3
23559.0,19.0,3
38620.0,44.0,3
81361.0,424.0,2
29440.0,14.0,3
36138.0,16.0,3
50388.0,37.0,1
79593.0,556.0,2
54178.0,39.0,1
52247.25135379061,192.0,1
52247.25135379061,8.0,1
52247.25135379061,359.0,1
42394.0,10.0,1
23626.0,14.0,3
30096.0,11.0,3
47916.0,26.0,1
51813.0,7.0,1
78497.0,447.0,2
50150.0,92.0,1
47823.0,5.0,1
34554.0,6.0,3
85693.0,183.0,2
65846.0,276.0,2
87195.0,556.0,2
24594.0,6.0,3
49096.0,32.0,1
52413.0,271.0,1
38557.0,31.0,3
89058.0,106.0,2
77298.0,292.0,2
68126.0,311.0,2
57288.0,21.0,1
86037.0,125.0,2
43974.0,101.0,1
50785.0,21.0,1
90765.0,556.0,2
36550.0,94.0,3
30753.0,25.0,3
21918.0,7.0,3
56129.0,133.0,1
32557.0,29.0,3
19510.0,7.0,3
30992.0,14.0,3
101970.0,102.0,2
71488.0,124.0,2
79607.0,556.0,2
54348.0,16.0,1
52247.25135379061,27.0,1
77376.0,110.0,2
62998.0,73.0,1
61331.0,47.0,1
73448.0,189.0,2
52247.25135379061,196.0,1
41551.0,33.0,1
62981.0,556.0,1
9548.0,3.0,3
33762.0,34.0,3
35860.0,8.0,3
36921.0,12.0,3
92859.0,556.0,2
65104.0,232.0,2
86111.0,556.0,2
68352.0,132.0,2
41883.0,41.0,1
59809.0,141.0,1
23957.0,18.0,3
38547.0,10.0,3
35688.0,90.0,3
49605.0,29.0,1
59354.0,78.0,1
65747.0,48.0,2
46344.0,57.0,1
34176.0,24.0,3
61010.0,57.0,1
69372.0,269.0,2
49967.0,69.0,1
60199.0,7.0,1
55375.0,57.0,1
80317.0,387.0,2
30523.0,3.0,3
70356.0,249.0,2
23228.0,49.0,3
74165.0,240.0,2
117416.25,556.0,2
43482.0,32.0,1
62551.0,98.0,1
52332.0,33.0,1
66951.0,305.0,2
26091.0,19.0,3
33456.0,10.0,3
28718.0,6.0,3
50447.0,24.0,1
53537.0,6.0,1
52074.0,12.0,1
80427.0,449.0,2
83837.0,119.0,2
38853.0,14.0,3
38285.0,5.0,3
78497.0,447.0,2
51650.0,22.0,1
16248.0,10.0,3
66835.0,195.0,2
30477.0,6.0,3
28249.0,7.0,3
25271.0,18.0,3
32303.0,2.0,3
61286.0,107.0,1
74068.0,537.0,2
45759.0,18.0,1
24882.0,10.0,3
66973.0,432.0,2
36640.0,8.0,3
38872.0,21.0,3
51148.0,45.0,1
31353.0,10.0,3
69661.0,106.0,2
80067.0,556.0,2
86718.0,482.0,2
46854.0,79.0,1
69142.0,34.0,2
75922.0,553.0,2
63693.0,337.0,1
102160.0,138.0,2
40637.0,13.0,1
18890.0,1.0,3
29604.0,13.0,3
48721.0,113.0,1
44794.0,7.0,1
64497.0,320.0,2
46097.0,68.0,1
77972.0,319.0,2
44377.0,30.0,1
46014.0,59.0,1
70951.0,554.0,2
41443.0,171.0,1
52195.0,4.0,1
83790.0,417.0,2
44551.0,33.0,1
69508.0,162.0,2
45204.0,25.0,1
72460.0,540.0,2
77622.0,154.0,2
30732.0,25.0,3
63887.0,207.0,2
42011.0,16.0,1
51369.0,79.0,1
51537.0,204.0,1
79930.0,556.0,2
34320.0,9.0,3
37070.0,137.0,3
81975.0,184.0,2
38590.0,8.0,3
15033.0,5.0,3
